num_clients,total_time
10,3.065803178
20,3.106195730
30,3.162180799
40,3.206536065
50,3.270428239
60,3.329103755
70,3.371335065
80,3.440203376
90,3.460077094
100,3.524675613
10,3.066424541
20,3.107232051
30,3.170007294
40,3.198629799
50,3.277846533
60,3.305299097
70,3.363036019
80,3.418431812
90,3.439409906
100,3.525357782
10,3.064093595
20,3.109802960
30,3.158450097
40,3.215936565
50,3.294866426
60,3.358730458
70,3.371134506
80,3.416259433
90,3.461439809
100,3.529629196
10,.285628603
20,.583781833
30,.854110344
40,1.025574774
